"IRいしかわ鉄道","IRいしかわ鉄道線"
"WILLER TRAINS","宮津線"
"WILLER TRAINS","宮福線"
"あいの風とやま鉄道","あいの風とやま鉄道線"
"いすみ鉄道","いすみ線"
"えちごトキめき鉄道","妙高はねうまライン"
"えちごトキめき鉄道","日本海ひすいライン"
"えちぜん鉄道","三国芦原線"
"えちぜん鉄道","勝山永平寺線"
"くま川鉄道","湯前線"
"しなの鉄道","しなの鉄道線"
"しなの鉄道","北しなの線"
"とさでん交通","伊野線"
"とさでん交通","後免線"
"とさでん交通","桟橋線"
"とさでん交通","駅前線"
"のと鉄道","七尾線"
"ひたちなか海浜鉄道","湊線"
"ゆりかもめ","東京臨海新交通臨海線"
"わたらせ渓谷鐵道","わたらせ渓谷線"
"IGRいわて銀河鉄道","いわて銀河鉄道線"
"アルピコ交通","上高地線"
"スカイレールサービス","広島短距離交通瀬野線"
"ラクテンチ","別府ラクテンチケーブル線"
"一畑電車","北松江線"
"一畑電車","大社線"
"青函トンネル記念館","青函トンネル竜飛斜坑線"
"万葉線","新湊港線"
"万葉線","高岡軌道線"
"三岐鉄道","三岐線"
"三岐鉄道","北勢線"
"三岐鉄道","近鉄連絡線"
"三陸鉄道","リアス線"
"上信電鉄","上信線"
"上毛電気鉄道","上毛線"
"上田交通","別所線"
"丹後海陸交通","天橋立鋼索鉄道"
"九州旅客鉄道","三角線"
"九州旅客鉄道","久大本線"
"九州旅客鉄道","九州新幹線"
"九州旅客鉄道","佐世保線"
"九州旅客鉄道","吉都線"
"九州旅客鉄道","唐津線"
"九州旅客鉄道","大村線"
"九州旅客鉄道","宮崎空港線"
"九州旅客鉄道","山陽線"
"九州旅客鉄道","後藤寺線"
"九州旅客鉄道","指宿枕崎線"
"九州旅客鉄道","日南線"
"九州旅客鉄道","日田彦山線"
"九州旅客鉄道","日豊本線"
"九州旅客鉄道","筑肥線_東部"
"九州旅客鉄道","筑肥線_西部"
"九州旅客鉄道","筑豊本線"
"九州旅客鉄道","篠栗線"
"九州旅客鉄道","肥薩線"
"九州旅客鉄道","豊肥本線"
"九州旅客鉄道","長崎本線"
"九州旅客鉄道","長崎本線_旧線"
